Anio,Indice,Pais,Code
1990,0,Afganistán,AFW
1991,0,Afganistán,AFW
1992,0,Afganistán,AFW
1993,0,Afganistán,AFW
1994,4.30162E-06,Afganistán,AFW
1995,0.000128512,Afganistán,AFW
1996,0.007034948,Afganistán,AFW
1997,0.019842295,Afganistán,AFW
1998,0.035424456,Afganistán,AFW
1999,0.086238849,Afganistán,AFW
2000,0.138960653,Afganistán,AFW
2001,0.20959643,Afganistán,AFW
2002,0.411060803,Afganistán,AFW
2003,0.657285159,Afganistán,AFW
2004,1.177864968,Afganistán,AFW
2005,2.326741166,Afganistán,AFW
2006,3.463236378,Afganistán,AFW
2007,4.24017377,Afganistán,AFW
2008,4.991565455,Afganistán,AFW
2009,5.807960733,Afganistán,AFW
2010,7.242071934,Afganistán,AFW
2011,8.663310491,Afganistán,AFW
2012,10.33555459,Afganistán,AFW
2013,12.90120662,Afganistán,AFW
2014,15.47062542,Afganistán,AFW
2015,19.42185036,Afganistán,AFW
2016,21.36941408,Afganistán,AFW
2017,24.67624656,Afganistán,AFW
2018,29.74167898,Afganistán,AFW
2019,32.41819142,Afganistán,AFW
2020,0,Afganistán,AFW
1990,0,África al sur del Sahara,SSF
1991,0.000956689,África al sur del Sahara,SSF
1992,0.002792714,África al sur del Sahara,SSF
1993,0.008151965,África al sur del Sahara,SSF
1994,0.017772597,África al sur del Sahara,SSF
1995,0.048720082,África al sur del Sahara,SSF
1996,0.068735719,África al sur del Sahara,SSF
1997,0.128979666,África al sur del Sahara,SSF
1998,0.23445448,África al sur del Sahara,SSF
1999,0.360339311,África al sur del Sahara,SSF
2000,0.50095138,África al sur del Sahara,SSF
2001,0.640984266,África al sur del Sahara,SSF
2002,0.827155548,África al sur del Sahara,SSF
2003,1.105080301,África al sur del Sahara,SSF
2004,1.499136243,África al sur del Sahara,SSF
2005,2.032654433,África al sur del Sahara,SSF
2006,2.705020618,África al sur del Sahara,SSF
2007,3.486584717,África al sur del Sahara,SSF
2008,3.72396263,África al sur del Sahara,SSF
2009,4.393707024,África al sur del Sahara,SSF
2010,6.785962243,África al sur del Sahara,SSF
2011,8.226009069,África al sur del Sahara,SSF
2012,9.568627339,África al sur del Sahara,SSF
2013,11.59696001,África al sur del Sahara,SSF
2014,14.12795097,África al sur del Sahara,SSF
2015,17.51116266,África al sur del Sahara,SSF
2016,18.95899878,África al sur del Sahara,SSF
2017,22.30807592,África al sur del Sahara,SSF
2018,26.27168569,África al sur del Sahara,SSF
2019,28.97139249,África al sur del Sahara,SSF
2020,0,África al sur del Sahara,SSF
